Country;Capital
Afghanistan;Kabul
Albania;Tirana
Algeria;Algiers
Andorra;Andorra la Vella
Angola;Luanda
Antigua & Barbuda;Saint John's
Argentina;Buenos Aires
Armenia;Yerevan
Australia;Canberra
Austria;Vienna
Azerbaijan;Baku
Bahamas;Nassau
Bahrain;Manama
Bangladesh;Dhaka
Barbados;Bridgetown
Belarus;Minsk
Belgium;Brussels
Belize;Belmopan
Benin;Porto-Novo
Bhutan;Thimphu
Bolivia;Sucre
Bosnia & Herzegovina;Sarajevo
Botswana;Gaborone
Brazil;Brasilia
Brunei;Bandar Seri Begawan
Bulgaria;Sofia
Burkina Faso;Ouagadougou
Burundi;Bujumbura
Cabo Verde;Praia
Cambodia;Phnom Penh
Cameroon;Yaounde
Canada;Ottawa
Central African Republic;Bangui
Chad;N'Djamena
Chile;Santiago
China;Beijing
Colombia;Bogotá
Comoros;Moroni
Costa Rica;San Jose
Côte D'Ivoire, Ivory Coast;Yamoussoukro
Croatia;Zagreb
Cuba;Havana
Cyprus;Nicosia
Czechia, Czech Republic;Prague
Democratic Republic of the Congo;Kinshasa
Denmark;Copenhagen
Djibouti;Djibouti
Dominica;Roseau
Dominican Republic;Santo Domingo
Ecuador;Quito
Egypt;Cairo
El Salvador;San Salvador
Equatorial Guinea;Malabo
Eritrea;Asmara
Estonia;Tallinn
Eswatini;Mbabane
Ethiopia;Addis Ababa
Fiji;Suva
Finland;Helsinki
France;Paris
Gabon;Libreville
Gambia;Banjul
Georgia;Tbilisi
Germany;Berlin
Ghana;Accra
Greece;Athens
Grenada;Saint George's
Guatemala;Guatemala City
Guinea;Conakry
Guinea-Bissau;Bissau
Guyana;Georgetown
Haiti;Port-Au-Prince
Honduras;Tegucigalpa
Hungary;Budapest
Iceland;Reykjavik
India;New Delhi
Indonesia;Jakarta
Iran;Tehran
Iraq;Baghdad
Ireland;Dublin
Israel;Jerusalem
Italy;Rome
Jamaica;Kingston
Japan;Tokyo
Jordan;Amman
Kazakhstan;Nur-Sultan
Kenya;Nairobi
Kiribati;South Tarawa
Kosovo;Pristina
Kuwait;Kuwait City
Kyrgyzstan;Bishkek
Laos;Vientiane
Latvia;Riga
Lebanon;Beirut
Lesotho;Maseru
Liberia;Monrovia
Libya;Tripoli
Liechtenstein;Vaduz
Lithuania;Vilnius
Luxembourg;Luxembourg
Madagascar;Antananarivo
Malawi;Lilongwe
Malaysia;Kuala Lumpur
Maldives;Male
Mali;Bamako
Malta;Valletta
Marshall Islands;Majuro
Mauritania;Nouakchott
Mauritius;Port Louis
Mexico;Mexico City
Micronesia;Palikir
Moldova;Chisinau
Monaco;Monaco
Mongolia;Ulaanbaatar
Montenegro;Podgorica
Morocco;Rabat
Mozambique;Maputo
Myanmar;Nay Pyi Taw
Namibia;Windhoek
Nauru;Yaren District
Nepal;Kathmandu
Netherlands;Amsterdam
New Zealand;Wellington
Nicaragua;Managua
Niger;Niamey
Nigeria;Abuja
North Korea;Pyongyang
North Macedonia;Skopje
Norway;Oslo
Oman;Muscat
Pakistan;Islamabad
Palau;Ngerulmud
Palestine;East Jerusalem
Panama;Panama City
Papua New Guinea;Port Moresby
Paraguay;Asunción
Peru;Lima
Philippines;Manila
Poland;Warsaw
Portugal;Lisbon
Qatar;Doha
Republic of the Congo;Brazzaville
Romania;Bucharest
Russia;Moscow
Rwanda;Kigali
Saint Kitts & Nevis;Basseterre
Saint Lucia;Castries
Saint Vincent & the Grenadines;Kingstown
Samoa;Apia
San Marino;San Marino
São Tomé & Príncipe;São Tomé
Saudi Arabia;Riyadh
Senegal;Dakar
Serbia;Belgrade
Seychelles;Victoria
Sierra Leone;Freetown
Singapore;Singapore
Slovakia;Bratislava
Slovenia;Ljubljana
Solomon Islands;Honiara
Somalia;Mogadishu
South Africa;Bloemfontein, Cape Town, Pretoria
South Korea;Seoul
South Sudan;Juba
Spain;Madrid
Sri Lanka;Colombo, Sri Jayawardenepura Kotte
Sudan;Khartoum
Suriname;Paramaribo
Sweden;Stockholm
Switzerland;Bern
Syria;Damascus
Tajikistan;Dushanbe
Tanzania;Dodoma
Thailand;Bangkok
Timor-Leste;Dili
Togo;Lomé
Tonga;Nukuʻalofa
Trinidad & Tobago;Port of Spain
Tunisia;Tunis
Turkey;Ankara
Turkmenistan;Ashgabat
Tuvalu;Funafuti
Uganda;Kampala
Ukraine;Kyiv
United Arab Emirates, UAE;Abu Dhabi
United Kingdom, UK;London
United States of America, USA;Washington, D.C.
Uruguay;Montevideo
Uzbekistan;Tashkent
Vanuatu;Port Vila
Vatican City;Vatican City
Venezuela;Caracas
Vietnam;Hanoi
Yemen;Sana'a
Zambia;Lusaka
Zimbabwe;Harare
